iter	Passed	Remaining
0	1	165
1	2	142
2	4	131
3	5	125
4	6	122
5	7	121
6	8	118
7	10	115
8	11	114
9	12	112
10	13	110
11	14	108
12	15	106
13	17	105
14	18	103
15	19	102
16	20	100
17	21	99
18	22	97
19	24	96
20	25	95
21	26	94
22	27	92
23	28	91
24	30	90
25	31	88
26	32	87
27	33	86
28	34	85
29	36	84
30	37	83
31	39	83
32	40	83
33	42	82
34	43	81
35	44	79
36	46	78
37	47	77
38	48	75
39	49	74
40	50	73
41	51	71
42	53	70
43	53	68
44	55	67
45	56	66
46	57	64
47	58	63
48	59	62
49	61	61
50	62	59
51	63	58
52	64	57
53	65	56
54	67	54
55	68	53
56	69	52
57	70	51
58	71	49
59	72	48
60	74	47
61	75	46
62	76	44
63	77	43
64	78	42
65	80	41
66	81	40
67	82	38
68	83	37
69	84	36
70	86	35
71	87	33
72	88	32
73	89	31
74	90	30
75	91	28
76	93	27
77	94	26
78	94	25
79	96	24
80	97	22
81	98	21
82	99	20
83	100	19
84	101	17
85	103	16
86	104	15
87	105	14
88	106	13
89	107	11
90	108	10
91	109	9
92	110	8
93	112	7
94	113	5
95	114	4
96	115	3
97	116	2
98	117	1
99	118	0
